MCode,Cohort,AcademicYearStart,Women3,Men3,Cap
CSC301H5,3,2021,18,93,
CSC301H5,3,2022,9,129,
CSC301H5,3,2023,6,45,
CSC309H5,3,2021,12,111,
CSC309H5,3,2022,21,153,
CSC309H5,3,2023,18,126,
CSC311H5,3,2020,24,138,
CSC311H5,3,2021,27,153,
CSC311H5,3,2022,27,150,
CSC324H5,3,2020,27,99,
CSC324H5,3,2021,33,195,
CSC324H5,3,2022,15,81,
CSC338H5,3,2021,12,45,
CSC338H5,3,2022,9,45,
CSC338H5,3,2023,9,30,
CSC347H5,3,2020,18,126,
CSC347H5,3,2021,21,135,
CSC347H5,3,2022,18,111,
CSC367H5,3,2020,6,48,
CSC367H5,3,2021,6,54,
CSC367H5,3,2022,3,51,
CSC375H5,3,2020,0,15,
CSC375H5,3,2022,0,6,
CSC376H5,3,2020,3,24,
CSC376H5,3,2021,6,33,
CSC376H5,3,2022,3,39,
CSC384H5,3,2021,6,27,
CSC384H5,3,2022,9,57,
CSC384H5,3,2023,12,81,
CSC413H5,4,2021,12,54,
CSC413H5,4,2022,9,54,
CSC413H5,4,2023,9,63,
CSC488H5,4,2021,3,24,
CSC488H5,4,2022,3,36,
